"clearances_avg_home","corners_avg_home","passes_avg_home","possession_avg_home","shots_avg_home","shots_on_target_avg_home","touches_avg_home","goals_scored_ft_avg_home","goals_conced_ft_avg_home","performance_acum_home"
"28.5","8.5","394.5","53.4","16.5","2.5","617.5","1.5","3","50"
"48.5","4.5","348","48.2","12","5","586","1.5","0.5","66.7"
"28.5","6.5","351.5","41.2","12.5","4.5","567","0.5","2","16.7"
"38.5","4.5","303.5","44.7","10","2","500.5","1","1.5","16.7"
"39.7","5","439","51.2","14.2","4.5","663.6","1.1","1.1","38.9"
"31.1","6.1","469.1","52.9","14.3","4.5","683.7","1.5","0.9","58.9"
"18.8","4.5","539.5","58.7","19.2","7.7","747.3","3.5","0.33","83.3"
"32.2","4.5","415.8","49.2","12.5","3.8","629.5","1","1.5","33.3"
"29.2","5.2","508.8","55.9","12.8","4","732.5","1.17","0.33","61.1"
"35.6","7.1","355.4","48.1","13.7","3.7","576.4","1","1.44","40.7"
"42.9","4.7","333.9","45.8","12.3","4.6","555.7","1.44","1.44","44.4"
"25.9","4.8","407","52.5","13.3","5","618.1","1.56","1.44","40.7"
"39.5","4.7","354.2","46.4","14.3","3.6","574.7","1.27","1.2","44.4"
"28.1","4.9","362.3","46.9","14.3","4.1","573.9","1.33","1.73","42.2"
"20.8","6.7","511.2","58.5","19","6.5","729.2","1.92","0.88","61.1"
"36.4","4.4","344.5","43.4","13.9","3.8","567.4","1.08","1.76","32"
"29.7","5.6","446.4","53.4","15.4","5.1","666.6","1.29","1.25","46.4"
"32.2","6.4","395.2","50","11.8","3.8","606.6","1.11","1.64","33.3"
"29.2","8.6","533.1","59.9","20","7","760.3","2.2","1","66.7"
"31.5","5.8","444.7","53.4","14.9","4.7","663.2","1","1.4","40"
"31.4","4.8","361.9","45.7","14.3","4.1","573.6","1.4","1.7","50"
"28.1","6.3","492.1","55.7","16.4","5.7","698.9","2.03","0.94","69.5"
"35.6","5.2","268.4","39.2","12.9","3.7","475","1.23","1.23","41"
"31.7","6.3","394.8","50.9","11.9","3.5","603.4","1.09","1.74","32.4"
"28.9","6.9","530.1","58.4","17.7","6.7","754.2","2.09","0.96","66.7"
"29.8","6","506.2","56.4","16.2","5.6","711.6","2.22","0.91","73.9"
"38.5","4.9","364.3","47.2","14.6","3.9","588.2","1.17","1","51.4"
"27.3","5.6","380","49.4","16.3","4.2","592.5","1.26","1.87","36.2"
"20.7","6.5","514.5","58.6","19.2","6.2","732.8","1.77","0.85","57.7"
"30.6","6.1","468.3","53.2","14.3","4.6","682.2","1.54","0.94","59"
